Booking date;Description;Amount
2026-05-12;NETFLIX.COM 866-579-7172;-15,99 €
2026-06-12;NETFLIX.COM 866-579-7172;-15,99 €
2026-07-13;NETFLIX.COM 866-579-7172;-16,99 €
2026-08-12;NETFLIX.COM 866-579-7172;-16,99 €
2026-05-20;Spotify SE;-10,99 €
2026-06-20;Spotify SE;-10,99 €
2026-07-21;Spotify SE;-10,99 €
2026-08-20;Spotify SE;-10,99 €
2026-05-15;AMAZON PRIME;-4,99 €
2026-06-15;AMAZON PRIME;-4,99 €
2026-07-15;AMAZON PRIME;-4,99 €
2026-05-16;AMAZON MUSIC;-9,99 €
2026-06-16;AMAZON MUSIC;-9,99 €
2026-07-16;AMAZON MUSIC;-9,99 €
2026-06-28;CLOUD STORAGE 2.99;-2,99 €
2026-07-28;CLOUD STORAGE 2.99;-2,99 €
2026-08-28;CLOUD STORAGE 2.99;-2,99 €
2026-08-07;WEEKLY APP;-1,99 €
2026-08-14;WEEKLY APP;-1,99 €
2026-08-21;WEEKLY APP;-1,99 €
2026-03-02;FITNESS CLUB ANNUAL;-120,00 €
2026-08-20;FITNESS CLUB ANNUAL;-120,00 €
2026-08-01;Salary ACME;2500,00 €
2026-08-15;MYSTERY CHARGE;???
